No,Model,Sku ,Size,Selling price,Payout,Issues?,Location,Owner,Insurance Price,Consign Date,Sell Date,Buy in,Checked in/out from store,Bought in
TA1101,dunk two tone grey td ,dh9761001,25,135,70,,j5 store,Tariq,10,11/7/23,,,,
ZA1202,jordan 2 maison chateau rouge,do5274180,25,135,75,,J5 Store,Zaka,,11-8-23,,,,
ZA1203,jordan 2 maison chateau rouge,do5274180,26,135,75,,J5 Store,Zaka,,11-8-23,,,,
ZA1204,jordan 2 maison chateau rouge,do5274180,27,135,75,,J5 Store,Zaka,,11-8-23,,,,
MIKE1302,nike dunk hi retro black blue,dd3359001,42.5,145,85,,j5 store,Mike,,,,,,
,jordan 1 high varsity red chenile,cu0449061,28.5,145,,,J5 store,J5 store,,,,,,
,jordan 1 high unc toe td,fd1413400,23.5,145,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe td,fd1413400,27,145,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe td,fd1413400,25,145,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,33,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,27.5,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,28,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,27.5,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,27.5,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,28.5,165,,,J5 Store,J5 Store,,,,,,
,jordan 1 high unc toe ps,fd1412400,32,165,,,J5 Store,J5 Store,,,,,,
mike1301,used Air max 72 black blue ,ao2924403,42.5,185,110,,j5 store,Mike,,,,,,
,Air Structure Triax 91 Grey Fog/Purple,db1549002,44,185,,,J5 Store,J5 Store,,,,,,
,Air Structure Triax 91 Grey Fog/Purple,db1549002,41,185,,,J5 Store,J5 Store,,,,,,
,Air Structure Triax 91 Grey Fog/Purple,db1549002,42.5,185,,,J5 Store,J5 Store,,,,,,
,Air Structure Triax 91 Grey Fog/Purple,db1549002,47.5,185,,,J5 Store,J5 Store,,,,,,
,air structure black midnight navy,db1549400,45,185,,,J5 Store,J5 Store,,,,,,
GG0505,Dunk Low Pure Platinum,dv0831101,42.5,195,155,,J5 store,Lino,,05-08-23,,,,
GG0513,Jordan 1 Mid Cherrywood Red Grey gs,dq8423615,40,195,140,,J5 store,Lino,,05-08-23,,,,
RE3102,new balance 550 white pink,bbw550wp,41,195,,,J5 store,renny,,,,,,
RE3103,new balance 550 white pink,bbw550wp,39,195,,,J5 store,renny,,,,,,
,Nike Air Force 1 Low White 07,CW2288111,48.5,195,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Nike Air Force 1 Low White 07,CW2288111,47.5,195,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Nike Air Force 1 Low White 07,CW2288111,45,195,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Hot Curry Game Royal (GS)
",DH9765101,40,195,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Hot Curry Game Royal (GS)
",DH9765101,36,195,,,J5 store,J5 store,,,,,treehouse 7-8-23,
TA1313,dunk low primal white ,dd7099100,39,195,80,,j5 store,Tariq,,13/8/23,,,,
DY1501,dunk low football grey mineral teal gs,fd1232002,38,195,100,,J5 store,Dylan,,,,,,
,Nike Dunk High Retro SE White Black Camo,DD3359100,41,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Barley Paisley 
",DH4401104,40,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Barley Paisley 
",DH4401104,37.5,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Barley Paisley 
",DH4401104,36.5,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Nike Dunk Low Barley Paisley 
",DH4401104,39,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk low panda,dd1391100,43,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk low panda Woman,dd1503101,40.5,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk Low panda (GS),CW1590100,38.5,215,,,J5 store,J5 store,,,,,treehouse 7-8-23,
TA1311,dunk low barely paisley,dh4401104,40.5,215,150,,j5 store,Tariq,,13/8/23,,,,
,Dunk Low Light Iron Ore W,dq7576001,40.5,215,,,J5 Store,J5 Store,,,,,,
GG0510,Jordan 1 Low reverse Panda used,dc0774100,43,225,130,,J5 store,Lino,,05-08-23,,,,
GG0511,Jordan 1 Low SE Twine Orange Quartz Corduroy,dh7820700,43,225,145,,J5 store,Lino,,05-08-23,,,,
GG0512,Jordan 1 Mid Aquatone (GS),dq8423400,40,225,150,,J5 store,Lino,,05-08-23,,,,
GG0524,Dunk Low Pale Ivory Redwood w,dd1503122,44.5,225,160,,J5 store,Lino,,05-08-23,,,,
,"Nike Dunk Low EMB NBA 75th Anniversary (GS)
",DO6288100,37.5,225,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,"Yeezy Slide Resin 
",FZ5904,43,225,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk Low Midas Gold,DD1391701,43,225,,,J5 store,J5 store,,,,,treehouse 7-8-23,
,Dunk low midnight navy university blue,fn7800400,42.5,225,,,J5 Store,J5 Store,,,,125,,
Gz1105,yeezy slide azure,id4133,48.5,225,150,,j5 store,Gosh ,10,,,,,
,Dunk low midnight navy university blue,Fn7800400,39,225,,,J5 Store,J5 Store,,,,,,
,Dunk low midnight navy university blue,Fn7800400,41,225,,,J5 Store,J5 Store,,,,,,
,Dunk low midnight navy university blue,Fn7800400,45,225,,,J5 Store,J5 Store,,,,,,
,Adidas campus core black,hq8708,37.5,225,,,,,,,,,,
,Adidas campus core black,hq8708,38,225,,,,,,,,,,
,Adidas campus tko core black RED,hp6539,39.5,225,,,,,,,,,,
,adidas campus Red,ho3474,44.5,225,,,,,,,,,,
,adidas campus Red,ho3474,45.5,225,,,,,,,,,,
,yeezy slide resin,fz5904,44.5,225,,,J5 Store,J5 Store,,,,110,,
,adidas Campus 00s Crystal White Core Black,gy0042,40,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,37 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,38,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,38,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
,adidas Campus 00s Crystal White Core Black,gy0042,39 1/3,225,,,J5 Store,J5 Store,,,,88,,
 ,adidas Campus 00s Core Black,hq8708,40 2/3,225,,,J5 Store,J5 Store,,,,,,
,adidas Campus 00s Grey White,hq8707,46,225,,,J5 Store,J5 Store,,,,110,,
,adidas Campus 00s Grey White,hq8707,39 1/3,225,,,j5 store,j5 store,,,,,,
,yeezy slide onyx,hq6448,46,225,,,j5 store,j5 store,,,,,,
,yeezy slide azure,id4133,42,225,,,J5 Store,J5 Store,,,,,,
,Jordan Mid Gs University Blue Black ,dq8423401,39,225,,,J5 Store,J5 Store,,,,,,
GG0508,Dunk Low Halloween (2022) gs,dh9765003,37.5,235,140,,J5 store,Lino,,05-08-23,,,,
GG0509,Dunk Low Halloween (2022) gs,dh9765003,36,235,140,,J5 store,Lino,,05-08-23,,,,
GG0522,Dunk Low Halloween (2022) gs,dh9765003,38,235,140,,J5 store,Lino,,05-08-23,,,,
GG0528,Dunk Low Halloween (2022) gs,dh9765003,37.5,235,140,,J5 store,Lino,,05-08-23,,,,
GG0538,Jordan 1 Mid GS Barely Grape gs,dq8423501,39,235,150,,J5 store,Lino,,05-08-23,,,,
BE0602,jordan low golf,dd9315002,44,245,160,box without lid,,,,,,,,
GG0501,Jordan 1 Low Panda,dc0774101,44.5,245,160€,,J5 store,Lino,,05-08-23,,,,
GG0502,Jordan 1 Low Panda,dc0774101,41,245,160€,,J5 store,Lino,,05-08-23,,,,
GG0504,Nike Dunk Low Metallic Gold,dx5930001,41,245,175€,,J5 store,Lino,,05-08-23,,,,
GG0506,dunk low just do it white,dv1160100,44,245,165,,J5 store,Lino,,05-08-23,,,,
GG0507,Dunk Low Ivory Hyper Royal gs,fb1843141,37.5,245,150,,J5 store,Lino,,05-08-23,,,,
GG0517,Dunk High Blue Chill,dd1399401,46,245,170,,J5 store,Lino,,05-08-23,,,,
